Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.)
Switzerland,Astrocast,Commercial,Communications,LEO,Sun-Synchronous,0,512,535,1.67E-03,97.5,95.1,4,30/6/2021,
Switzerland,Astrocast,Commercial,Communications,LEO,Sun-Synchronous,0,511,536,1.81E-03,97.5,95,4,30/6/2021,
Switzerland,Astrocast,Commercial,Communications,LEO,Sun-Synchronous,0,511,536,1.81E-03,97.5,95,4,30/6/2021,
Switzerland,Astrocast,Commercial,Communications,LEO,Sun-Synchronous,0,513,536,1.67E-03,97.5,95.1,4,30/6/2021,
Switzerland,Astrocast,Commercial,Communications,LEO,Sun-Synchronous,0,513,535,1.60E-03,97.5,95,4,30/6/2021,
India,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,Space Science,LEO,Equatorial,0,632,649,1.21E-03,5.99,97.54,230,28/9/2015,5
USA,"DirecTV, Inc.",Commercial,Communications,GEO,,-101,"35,653","36,757",1.30E-02,0.02,1436.07,"6,350",20/6/2019,15
USA,PointView Tech,Commercial,Communications,LEO,Sun-Synchronous,0,516,524,5.81E-04,97.4,94.5,138,2/9/2020,
France/Italy,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),Government/Military,Communications,GEO,,25,"35,784","35,788",4.74E-05,0.05,1436.06,"3,080",6/2/2014,15
Singapore,Microspace Rapid Pvt Ltd.,Commercial,Technology Development,LEO,Equatorial,0,532,550,1.30E-03,14.98,95.46,6,16/12/2015,
Azerbaijan,Azercosmos,Government,Communications,GEO,,46,"35,778","35,794",1.90E-04,0.04,1436.08,"3,250",7/2/2013,15
Azerbaijan,Azercosmos,Government,Communications,GEO,,45,"35,750","35,750",0.00E+00,0.02,1436.1,"3,500",25/9/2018,15
Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,,26.02,"35,780","35,791",1.30E-04,0.07,1436.06,"3,304",8/11/2006,15
Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,,26,"35,834","35,883",5.80E-04,0.06,1439.76,"5,420",3/6/2010,15
Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,,30.5,"35,605","35,623",2.14E-04,0.03,1427.27,"4,940",26/6/2010,15
Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,,26.08,"35,768","35,805",4.39E-04,0.05,1436.1,"3,400",7/7/2008,15
Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,,26,"35,768","35,817",5.81E-04,0.1,1436,"5,500",10/11/2015,15
Bangladesh,Bangladesh Telecommunication Regulatory Commission (BTRC),Government,Communications,GEO,,119.1,"35,778","35,793",1.78E-04,0,1436.06,"3,500",11/5/2018,15
China,Tianyi Research Institute,Civil,Unknown,LEO,Sun-Synchronous,0,472,502,2.19E-03,97.4,95,20,6/12/2021,
Russia,Ministry of Defense,Military,Earth Observation,LEO,Sun-Synchronous,0,570,586,1.15E-03,97.7,96.1,"4,000",27/2/2015,5
Russia,Ministry of Defense,Military,Earth Observation,LEO,Sun-Synchronous,0,549,594,3.24E-03,97.62,96.1,"4,000",24/3/2016,5
Russia,Ministry of Defense,Military,Earth Observation,LEO,Sun-Synchronous,0,337,556,1.61E-02,97.70,94.6,"3,700",19/5/2022,5
Russia,Ministry of Defense,Military,Earth Observation,LEO,Sun-Synchronous,0,501,514,9.45E-04,97.60,94.6,"3,700",23/3/2023,5
USA,Space Development Agency,Military,Technology Demonstration,LEO,Polar,0,938,951,8.89E-04,81,104,300,2/4/2023,
USA,Space Development Agency,Military,Technology Demonstration,LEO,Polar,0,939,950,7.52E-04,81,104,300,2/4/2023,
Czech Republic,Central European Institute of Technology,Government,Technology Demonstration,LEO,Sun-Synchronous,0,497,509,8.73E-04,97.4,97,1,1/4/2022,
Czech Republic,Central European Institute of Technology,Civil,Communications,LEO,Sun-Synchronous,0,515,537,1.60E-03,97.5,95.1,2,3/1/2023,
Germany,Technical University Berlin,Civil,Technology Demonstration,LEO,Sun-Synchronous,0,535,558,1.66E-03,97.6,95.5,1,22/3/2021,
Germany,Technical University Berlin,Civil,Technology Demonstration,LEO,Sun-Synchronous,0,535,562,1.95E-03,97.6,95.5,1,22/3/2021,
Germany,Technical University Berlin,Civil,Technology Demonstration,LEO,Sun-Synchronous,0,535,562,1.95E-03,97.6,95.5,1,22/3/2021,
Germany,Technical University Berlin,Civil,Technology Demonstration,LEO,Sun-Synchronous,0,535,556,1.52E-03,97.6,95.5,1,22/3/2021,
Germany,Technical University Berlin,Civil,Technology Development,LEO,Sun-Synchronous,0,514,546,2.32E-03,97.5,95.2,1,5/7/2019,
China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,MEO,Non-Polar Inclined,0,"21,460","21,595",2.42E-03,55.16,773.19,"2,200",28/4/2012,8
China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,MEO,Non-Polar Inclined,0,"21,452","21,603",2.71E-03,55.1,773.21,"2,200",28/4/2012,8
China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,MEO,Non-Polar Inclined,0,"21,477","21,574",1.74E-03,55,773.1,"3,800",18/9/2012,8
China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,GEO,,80,"35,775","35,799",2.85E-04,1.84,1436.11,"3,800",25/10/2012,8
China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,GEO,,100.3,"35,676","35,890",2.54E-03,54.97,1435.92,"4,200",30/3/2016,8
China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,GEO,,144,"35,776","35,794",2.13E-04,1.84,1436.1,"3,800",12/6/2016,8
China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,GEO,,107.48,"35,796","36,781",1.15E-02,54.9,1461.81,"4,200",30/3/2015,8
China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,GEO,,89.5,"35,606","35,953",4.12E-03,55,1435.73,"4,200",29/9/2015,8
China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,MEO,Non-Polar Inclined,0,"21,520","21,549",5.20E-04,55,773.2,800,25/7/2015,8
China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,MEO,Non-Polar Inclined,0,"21,521","21,550",5.20E-04,55,773.3,800,25/7/2015,8
China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,MEO,,0,"21,506","21,549",7.71E-04,55,773.2,800,5/11/2017,8
